LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
CL(O-69:14_18:2),CL,(O-69:14_18:2),1629.1025,17.843,C,7.69,2880,3390,145,117,55400,49700,48100,8030,0,#VALUE!,#VALUE!,#VALUE!
Co(Q9),Co,(Q9),794.6213,36.6711,A,30.77,338000,720000,1030000,2470000,21000,25300,79600,42600,4563.636364,4385.454545,4541.272727,#VALUE!
DG(10:0_18:2),DG,(10:0_18:2),508.4128,15.0756,A,7.69,10400,10600,12200,15200,,,337,,55454.54545,55276.36364,68814,55410
DG(12:0_18:2),DG,(12:0_18:2),536.4441,17.3273,A,53.85,79100,67300,120000,128000,26300,39800,38300,20300,538181.8182,538003.6364,749614,538137.2727
DG(12:0_18:2),DG,(12:0_18:2),536.4441,17.3772,A,38.46,316000,191000,375000,380000,91800,119000,132000,75500,62545.45455,62367.27273,53432.18182,62500.90909
DG(12:0_20:5),DG,(12:0_20:5),558.4284,17.2671,A,15.38,316000,312000,375000,380000,89400,125000,132000,75500,60181.81818,60003.63636,61977.63636,60137.27273
DG(13:0_18:2),DG,(13:0_18:2),550.4597,18.7248,A,15.38,3320,55200,962,34700,0.00685,2250,4870,2.68E-07,57272.72727,57094.54545,91250.36364,57228.18182
DG(14:0_14:0),DG,(14:0_14:0),512.4441,19.2375,A,7.69,117000,112000,134000,117000,34400,43400,32900,37900,28363.63636,28185.45455,27113.27273,28319.09091
DG(14:0_16:0),DG,(14:0_16:0),540.4754,22.6768,A,53.85,220000,202000,231000,61400,17900,46600,40500,26400,265454.5455,265276.3636,714523.0909,265410
DG(14:0_16:0),DG,(14:0_16:0),540.4754,22.7675,A,15.38,168000,911000,1270000,1430000,153000,242000,159000,75600,1352727.273,1352549.091,1516341.273,1352682.727
DG(14:0_16:0),DG,(14:0_16:0),540.4754,22.8317,A,7.69,592,9090,65500,121000,13500,431,14800,7780,165636.3636,165458.1818,196523.0909,165591.8182
DG(14:0_16:1),DG,(14:0_16:1),538.4597,19.4088,A,30.77,106000,73700,94200,138000,14500,17000,11800,6110,440000,439821.8182,543795.8182,439955.4545
DG(14:0_16:1),DG,(14:0_16:1),538.4597,19.5393,A,7.69,10700,1470,20400,51500,6680,3930,3540,3850,53636.36364,53458.18182,77614,53591.81818
DG(14:0_16:1),DG,(14:0_16:1),538.4597,19.6588,A,7.69,35300,18600,37700,45700,2250,7480,5120,2390,187272.7273,187094.5455,186159.4545,187228.1818
DG(14:0_18:1),DG,(14:0_18:1),566.491,22.9016,A,23.08,509000,278000,410000,496000,5730,6900,6110,34200,230909.0909,230730.9091,927250.3636,230864.5455
DG(14:0_18:1),DG,(14:0_18:1),566.491,22.9397,A,53.85,530000,278000,457000,527000,5730,66100,6110,39600,230909.0909,230730.9091,1119977.636,230864.5455
DG(14:0_18:2),DG,(14:0_18:2),564.4754,20.1763,A,46.15,5150000,4490000,6110000,6090000,1370000,1930000,2170000,1150000,987272.7273,987094.5455,950886.7273,987228.1818
DG(14:0_18:2),DG,(14:0_18:2),564.4754,20.2281,A,84.62,2080000,2060000,2810000,3290000,504000,814000,746000,384000,4545454.545,4545276.364,8472704.909,4545410
DG(14:0_18:2),DG,(14:0_18:2),564.4754,20.3059,A,23.08,5540000,4490000,6110000,6090000,1370000,1560000,2170000,1150000,396363.6364,396185.4545,487250.3636,396319.0909
DG(14:0_18:2),DG,(14:0_18:2),564.4754,20.3593,A,15.38,2640000,3050000,2920000,4500000,20600,393000,1470000,40300,450909.0909,450730.9091,398204.1818,450864.5455
DG(14:0_18:2),DG,(14:0_18:2),564.4754,20.9767,A,7.69,12700,0,18100,21800,4.01,119,46.8,7.32,38727.27273,38549.09091,47595.81818,38682.72727
DG(14:0_18:3),DG,(14:0_18:3),562.4597,18.0076,A,7.69,24300,15700,20300,6290,5610,11500,20000,1460,214545.4545,214367.2727,307614,214500.9091
DG(14:1_18:2),DG,(14:1_18:2),562.4597,17.6204,A,7.69,34300,27300,56200,71600,0.000114,3870,0.0664,7.37E-05,112727.2727,112549.0909,163250.3636,112682.7273
DG(14:1_18:2),DG,(14:1_18:2),562.4597,17.6868,A,7.69,115000,56100,106000,130000,4,6000,6.49,3.09,303636.3636,303458.1818,361068.5455,303591.8182
DG(14:1_18:2),DG,(14:1_18:2),562.4597,17.7475,A,7.69,80200,79100,106000,130000,58.8,5920,82.9,42.6,270909.0909,270730.9091,328341.2727,270864.5455
DG(14:1_18:2),DG,(14:1_18:2),562.4597,17.8136,A,7.69,36600,43300,41900,100000,4,2160,6.42,3.09,216363.6364,216185.4545,339668.5455,216319.0909
DG(14:2_18:2),DG,(14:2_18:2),560.4441,15.8725,A,7.69,8470,23300,17.4,8150,9.89,0.0167,0.00587,0.0938,37818.18182,37640,37414,37773.63636
DG(14:2_18:2),DG,(14:2_18:2),560.4441,16.2621,A,7.69,19100,20500,9820,11300,11.9,2290,16.2,17.2,5709.090909,5530.909091,30868.54545,5664.545455
DG(14:2_18:2),DG,(14:2_18:2),560.4441,16.3246,A,7.69,1020,824,1910,2030,0.000276,0.103,21.4,1.17,16127.27273,15949.09091,9614,16082.72727
DG(15:0_16:0),DG,(15:0_16:0),554.491,24.1938,A,7.69,1300,5010,1190,3360,375,926,302,877,9563.636364,9385.454545,15275.81818,9519.090909
DG(15:0_16:0),DG,(15:0_16:0),554.491,24.4148,A,23.08,7430,25700,31400,33800,3850,8220,5320,4020,51636.36364,51458.18182,120086.7273,51591.81818
DG(15:0_18:1),DG,(15:0_18:1),580.5067,24.9345,A,7.69,78800,17200,50200,105000,10600,17600,23800,3970,116363.6364,116185.4545,134159.4545,116319.0909
DG(15:0_18:1),DG,(15:0_18:1),580.5067,24.9966,A,23.08,168000,158000,110000,168000,23100,35900,44400,17200,610909.0909,610730.9091,755614,610864.5455
DG(15:0_18:1),DG,(15:0_18:1),580.5067,25.0421,A,38.46,168000,158000,198000,168000,23100,35900,44400,19200,994545.4545,994367.2727,1337432.182,994500.9091
DG(15:0_18:1)+D7:(s),DG,(15:0_18:1)+D7:(s),587.5506,24.612,A,15.38,50800,63900,56400,62100,74500,77900,83200,68200,12727.27273,14367.27273,14704.90909,18137.27273
DG(15:0_18:2),DG,(15:0_18:2),578.491,21.4007,A,15.38,115000,100000,117000,126000,7840,13000,8470,2530,218181.8182,218003.6364,283795.8182,218137.2727
DG(15:0_18:2),DG,(15:0_18:2),578.491,21.9206,A,30.77,350000,371000,363000,511000,64900,75600,104000,36500,2545454.545,2545276.364,3385432.182,2545410
