LipidMolec,intensity[s1],intensity[s2],intensity[s3],intensity[s4],intensity[s5],intensity[s6],intensity[s7],intensity[s8],intensity[s9],intensity[s10],intensity[s11],intensity[s12]
TG(10:0_16:0_18:1),1290.2750491159100,852.7932960893860,2068.452012383900,1346.7096774193500,26.773743016759800,23.188297872340400,34.1865,8.533333333333330,1173.5537190082600,1174.4474202246400,1223.169136353120,1173.7770085678500
TG(10:0_16:0_18:2),2720.039292730850,2432.7746741154600,2593.808049535600,2916.3440860215100,40.45810055865920,50.22872340425530,66.74,22.400000000000000,4154.380165289260,4157.690046483930,4669.828945956460,4155.207132849210
TG(10:0_16:0_20:5),22.31827111984280,13.750465549348200,27.91640866873070,35.57634408602150,5.19608938547486E-06,0.001065,0.000142355,0.0007966666666666670,75.10743801652890,75.11076739838880,73.69513248269740,75.10826985629320
TG(10:0_16:0_22:6),84.5304518664047,68.35567970204840,0.0004286377708978330,0.05450967741935480,0.0017412849162011200,0.0021866489361702100,0.0046505,0.2813333333333330,278.7190082644630,278.88737986137500,338.9583641451020,278.7610755896860
TG(10:0_16:1_18:2),188.3104125736740,670.3351955307260,1041.919504643960,980.258064516129,7.179329608938550,6.609042553191490,5.751,5.3,1813.1404958677700,1814.552629402330,1762.1956328925900,1813.49331476208
TG(10:0_18:1_18:2),3989.3909626719100,3001.3035381750500,5605.263157894740,3863.010752688170,63.86033519553070,70.24468085106380,109.695,31.700000000000000,6865.289256198350,6870.796529420520,7909.170872275390,6866.665238002740
TG(10:0_18:2_18:2),2008.6444007858500,2221.22905027933,2461.919504643960,2244.516129032260,18.68212290502790,23.868085106383000,33.583,12.433333333333300,5292.727272727270,5296.959868323110,6146.968864357900,5293.784778736190
TG(10:0_18:2_18:3),325.00982318271100,465.4003724394790,362.6934984520120,383.247311827957,2.9867597765363100,2.8211170212766000,1.4093500000000000,0.6533333333333330,651.3223140495870,651.792708143786,825.1188004470470,651.4398411248560
TG(10:0_18:2_20:4),221.78781925343800,210.22346368715100,70.12074303405570,230.5591397849460,3.3040782122905000,2.590744680851060,1.8886000000000000,1.7633333333333300,435.3884297520660,435.683793485633,411.00132858643500,435.46222582258400
TG(10:0_18:2_22:6),5.956188605108060,53.94413407821230,81.55108359133130,5.038709677419360,0.5315083798882680,1.7447872340425500,1.4768,0.3433333333333330,235.29752066115700,235.4306959355510,207.82980296771200,235.33079425172900
TG(11:0_14:0_18:1),136.14145383104100,94.13780260707630,167.71826625387000,115.1268817204300,2.5702793296089400,1.4162234042553200,2.3607500000000000,1.3833333333333300,120.87603305785100,120.91646126614900,109.87210311582700,120.88613396927500
TG(11:0_16:0_18:2),486.81728880157200,321.2849162011170,518.7616099071210,371.0322580645160,13.803351955307300,13.104787234042600,23.288,7.833333333333330,348.54545454545500,348.7704256339850,405.3000867961140,348.6016631466700
TG(11:0_18:1_18:2),270.6090373280940,243.27746741154600,296.749226006192,309.9569892473120,5.116759776536310,4.531914893617020,12.4605,1.82,386.099173553719,386.35458470496800,460.23932586648300,386.1629875470650
TG(11:0_18:2_18:2),368.25147347740700,686.2011173184360,424.24148606811100,422.9462365591400,2.4552513966480400,3.6632978723404300,3.06365,1.46,1138.3471074380200,1139.212271095600,1339.2671509923900,1138.56326694248
TG(11:0_18:2_18:3),189.70530451866400,290.8752327746740,184.42414860681100,224.4516129032260,0.32961452513966500,0.25492021276595700,1.17505,0.13433333333333300,552.7438016528930,553.1342905824550,655.1181361538300,552.8413645738190
TG(10:0_12:0_14:0),3.8777996070726900,2.327001862197390,7.3198142414860700,3.5576344086021500,0.09717877094972070,0.17674468085106400,0.059285000000000000,0.11433333333333300,42.54132231404960,42.51825445402060,41.09439533622360,42.535558852825600
TG(12:0_12:0_18:1),376.6208251473480,129.70391061452500,430.8359133126940,219.8709677419360,2.61391061452514,2.451010638297870,1.7359500000000000,1.6333333333333300,518.1239669421490,518.4863939388930,564.4165622169000,518.2145186422040
TG(12:0_12:0_18:2),1149.3909626719100,1068.3054003724400,1683.7770897832800,1587.9569892473100,4.720111731843580,2.420797872340430,5.1475,2.7666666666666700,3057.1074380165300,3059.527898628640,3477.7511170710900,3057.7121855251700
TG(12:0_14:0_14:0),60.95677799607070,50.63873370577280,71.87925696594430,11.283655913978500,2.4869832402234600,3.0363829787234000,2.3181500000000000,1.2466666666666700,154.9090909090910,154.9771054242280,146.67102739881000,154.92608420713300
TG(12:0_14:0_16:0),232.94695481336000,175.84729981378000,430.8359133126940,213.76344086021500,3.411173184357540,7.742021276595750,7.2775,3.3666666666666700,85.6694214876033,85.68131213710280,156.2076500298930,85.67239234390430
TG(12:0_14:0_18:1),1290.2750491159100,852.7932960893860,2068.452012383900,1346.7096774193500,26.773743016759800,23.188297872340400,34.1865,11.266666666666700,1173.5537190082600,1174.4474202246400,1223.169136353120,1173.7770085678500
TG(12:0_14:0_18:2),2720.039292730850,2432.7746741154600,3846.7492260061900,2916.3440860215100,40.45810055865920,50.22872340425530,66.74,22.400000000000000,4154.380165289260,4157.690046483930,4669.828945956460,4155.207132849210
TG(12:0_14:2_18:2),10.838310412573700,15.998137802607100,11.188544891640900,3.618709677419360,0.0014794972067039100,0.0012953723404255300,0.076325,0.02163333333333330,68.65289256198350,68.65099005806360,78.61893221070210,68.65241722497530
TG(12:0_16:0_18:2),8104.322200392930,2393.1098696461800,13672.445820433400,9573.548387096780,475.9776536312850,698.6702127659570,915.9,232.66666666666700,10385.95041322310,10394.31144232520,11609.795088902100,10388.03940053980
TG(12:0_16:0_22:6),327.7996070726920,650.5027932960890,553.9318885448920,464.1720430107530,154.2960893854750,0.39276595744680900,1.68625,0.0099,680.6611570247930,681.1553324179910,452.6203936557810,680.7846258126650
TG(12:0_16:2_18:2),46.17092337917490,60.819366852886400,34.5108359133127,66.11397849462370,0.9241899441340780,0.36708510638297900,1.4271E-05,0.47000000000000000,56.154545454545500,56.14251211725200,65.29875820967870,56.1515389479688
TG(12:0_16:3_18:2),182.73084479371300,186.4245810055870,233.0030959752320,206.1290322580650,1.6302234636871500,0.6609042553191490,1.37385,0.8666666666666670,657.1900826446280,657.665232998627,872.8019136024620,657.3087980624180
TG(12:0_18:2_18:3),827.1709233791750,1626.2569832402200,1756.3157894736800,407.6774193548390,19.554748603352000,13.406914893617000,18.034,5.433333333333330,6278.512396694220,6283.544043936410,5872.272669006050,6279.769544246560
TG(12:0_18:2_20:5),199.46954813359500,70.3389199255121,404.45820433436500,209.18279569892500,4.323463687150840,5.287234042553190,8.9815,2.49,768.6776859504130,769.2432052406080,825.6370951552580,768.8189798760910
TG(12:1_16:2_18:1),29.711198428290800,3001.3035381750500,62.20743034055730,303.84946236559100,1.73731843575419,2.462340425531920,1.2922,1.48,868.4297520661160,869.076127772907,855.8536766439610,868.5912478146400
TG(12:1_18:2_18:3),47.42632612966600,83.82495344506520,101.3343653250770,98.33118279569890,3.212849162011170,2.7984574468085100,1.50875,2.0933333333333300,482.9173553719010,483.251244809846,652.0601973753850,483.000777016834
TG(13:0_14:0_18:2),22.876227897838900,24.19553072625700,46.38080495356040,61.075268817204300,1.6698882681564200,2.1677659574468100,0.296425,0.298,46.06198347107440,46.04176936692530,72.55488412463310,46.05693301536260
TG(13:0_16:0_18:2),299.90176817288800,138.82681564245800,119.13931888544900,149.93978494623700,21.26033519553070,21.224468085106400,28.968000000000000,14.766666666666700,166.64462809917400,166.7221551339100,148.74420623165400,166.6639980822560
TG(13:0_16:1_18:1),312.45579567780000,140.14897579143400,156.06811145510800,172.53763440860200,20.90335195530730,21.526595744680900,26.057,11.866666666666700,29.690909090909100,29.657425021918600,-34.732120475049900,29.682543159565400
TG(13:0_18:2_18:2),2357.367387033400,2313.780260707640,1420.0,2381.935483870970,35.57932960893860,21.56436170212770,42.245,19.93333333333330,1179.4214876033100,1180.319945079490,1425.3040725554200,1179.6459655054100
TG(13:0_18:2_18:3),361.2770137524560,446.89013035381800,184.20433436532500,372.55913978494600,6.267039106145250,6.760106382978720,11.963500000000000,3.666666666666670,798.0165289256200,798.6058295148140,918.9301426332440,798.1637645638990
TG(14:0_14:0_16:0),626.3064833005890,711.3221601489760,1193.59133126935,876.4301075268820,28.00335195530730,43.430851063829800,39.050000000000000,17.2,616.1157024793390,616.5575590147390,272.0983467858790,616.2260994994860
TG(14:0_14:2_18:2),88.15717092337920,70.73556797020480,178.4891640866870,117.41720430107500,2.7765363128491600,3.531117021276600,2.68735,1.0333333333333300,201.8512396694220,201.95730426295700,332.2205329383590,201.87773970762700
TG(14:0_14:2_22:6),96.94499017681730,2.7500931098696500,5.363467492260060,25.651612903225800,0.18840782122905000,0.3965425531914890,0.23394500000000000,0.04133333333333330,17.48595041322310,17.442573323849100,26.16750773974600,17.47511272943700
